repository_language,cntlang
Java,281
JavaScript,240
C,172
Python,165
Ruby,150
C++,106
VimL,85
PHP,80
Shell,64
Emacs Lisp,40
Objective-C,31
ActionScript,30
Perl,29
C#,21
CoffeeScript,14
Scala,11
Haskell,11
D,8
Go,6
Lua,5
OCaml,5
Erlang,4
Prolog,4
Puppet,3
Assembly,3
Matlab,3
Common Lisp,2
R,2
HaXe,2
Verilog,2
Racket,2
Standard ML,2
Groovy,2
Arduino,2
VHDL,2
Clojure,1
Powershell,1
Coq,1
Scheme,1
Tcl,1
Julia,1
Vala,1
Nemerle,1
AutoHotkey,1
FORTRAN,1
DCPU-16 ASM,1
