repository_language,cntlang
PHP,395
JavaScript,293
Java,228
Python,198
Ruby,193
C,158
C++,117
Objective-C,91
Shell,51
Dart,46
C#,43
Perl,37
VimL,23
Emacs Lisp,17
Lua,17
Scala,16
ActionScript,16
Haskell,14
CoffeeScript,12
Erlang,8
D,8
Go,7
Matlab,6
Assembly,5
Clojure,5
Common Lisp,5
Rust,5
ooc,5
Puppet,4
Prolog,4
FORTRAN,2
Groovy,2
Scheme,2
Coq,1
Objective-J,1
SuperCollider,1
HaXe,1
Standard ML,1
XQuery,1
OpenEdge ABL,1
