repository_language,cntlang
Ruby,291
Java,205
JavaScript,184
PHP,130
Python,97
C++,93
C,61
C#,53
Shell,35
Objective-C,16
VimL,9
Perl,9
CoffeeScript,7
Haskell,7
Matlab,6
ActionScript,5
Lua,5
Clojure,4
D,4
Scala,3
OCaml,3
Erlang,2
Emacs Lisp,1
Racket,1
VHDL,1
Assembly,1
Kotlin,1
R,1
Standard ML,1
Verilog,1
Arduino,1
