repository_language,cntlang
JavaScript,14
Ruby,11
Java,11
C,10
Python,7
Objective-C,6
Perl,6
PHP,5
C#,3
C++,3
OCaml,2
Emacs Lisp,2
Shell,2
R,1
D,1
Haskell,1
Scala,1
Scheme,1
Assembly,1
Prolog,1
ActionScript,1
